strategy,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,number_credit_unlocks,false_recovery_count,avg_weight_SPY,avg_weight_GOLD,avg_weight_IEF,avg_weight_CASH,avg_weight_CMDTY
FINAL_BASELINE,2008_GFC,0.5462308664061997,-0.14317704805412257,1.6027837647504588,105,1,1,0.18999930103891297,0.19331698747275142,0.41655328798185937,0.009070294784580499,0.19106012872189568
FINAL_BASELINE,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
FINAL_BASELINE,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
FINAL_BASELINE,COVID_2020,0.27479944506516096,-0.15469690070036735,2.964727799568132,28,2,1,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
FINAL_BASELINE,2022_RATE_WAR,0.07326560180565656,-0.14020389236531017,0.3246770799647222,77,2,2,0.4026330353299627,0.45270358583937453,0.06544943820224719,0.004213483146067416,0.07500045748234827
FINAL_BASELINE,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_2D_CONFIRM,2008_GFC,0.5475354486128616,-0.1424541314433807,1.6058123568336493,106,1,1,0.18877548173730246,0.19399725958159497,0.41814058956916095,0.009070294784580499,0.19001637432736104
CREDIT_UNLOCK_2D_CONFIRM,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_2D_CONFIRM,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_2D_CONFIRM,COVID_2020,0.28300899678588154,-0.15469690070036735,3.078162822335562,29,2,1,0.308273864391861,0.41346153846153844,0.0,0.0,0.27826459714660057
CREDIT_UNLOCK_2D_CONFIRM,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,112,1,1,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_2D_CONFIRM,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_3D_CONFIRM,2008_GFC,0.5601618776554917,-0.13545736631607075,1.6423618440989842,107,1,1,0.18755166243569193,0.19467753169043853,0.4197278911564626,0.009070294784580499,0.1889726199328265
CREDIT_UNLOCK_3D_CONFIRM,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_3D_CONFIRM,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_3D_CONFIRM,COVID_2020,0.2834731458407156,-0.15469690070036735,3.087524983279571,30,2,1,0.30392204776557785,0.4230769230769231,0.0,0.0,0.2730010291574991
CREDIT_UNLOCK_3D_CONFIRM,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,113,1,1,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_3D_CONFIRM,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_MA50,2008_GFC,0.5462308664061997,-0.14317704805412257,1.6027837647504588,105,1,1,0.18999930103891297,0.19331698747275142,0.41655328798185937,0.009070294784580499,0.19106012872189568
CREDIT_UNLOCK_MA50,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_MA50,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_MA50,COVID_2020,0.27479944506516096,-0.15469690070036735,2.964727799568132,28,2,1,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
CREDIT_UNLOCK_MA50,2022_RATE_WAR,0.07326560180565656,-0.14020389236531017,0.3246770799647222,77,2,2,0.4026330353299627,0.45270358583937453,0.06544943820224719,0.004213483146067416,0.07500045748234827
CREDIT_UNLOCK_MA50,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_MA20_MA50,2008_GFC,0.5462308664061997,-0.14317704805412257,1.6027837647504588,105,1,1,0.18999930103891297,0.19331698747275142,0.41655328798185937,0.009070294784580499,0.19106012872189568
CREDIT_UNLOCK_MA20_MA50,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_MA20_MA50,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_MA20_MA50,COVID_2020,0.27479944506516096,-0.15469690070036735,2.964727799568132,28,2,1,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
CREDIT_UNLOCK_MA20_MA50,2022_RATE_WAR,0.07326560180565656,-0.14020389236531017,0.3246770799647222,77,2,2,0.4026330353299627,0.45270358583937453,0.06544943820224719,0.004213483146067416,0.07500045748234827
CREDIT_UNLOCK_MA20_MA50,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_LEVEL_CONFIRM,2008_GFC,0.6198433843116677,-0.10238566543315253,1.84529770384691,238,1,1,0.09197755889609086,0.24433739563601672,0.5356009070294784,0.009070294784580499,0.11901384365383341
CREDIT_UNLOCK_LEVEL_CONFIRM,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_LEVEL_CONFIRM,2018Q4,0.06559459122784883,-0.04665946929841036,2.1337836270578596,59,2,1,0.07662047114000317,0.384624073545247,0.3642857142857143,0.04047619047619048,0.1339935505528451
CREDIT_UNLOCK_LEVEL_CONFIRM,COVID_2020,0.08025443779887231,-0.15469690070036735,0.8946955629216099,74,1,2,0.08997478653852732,0.8461538461538461,0.0,0.0,0.06387136730762652
CREDIT_UNLOCK_LEVEL_CONFIRM,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,222,1,0,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_LEVEL_CONFIRM,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_ZSCORE_CONFIRM,2008_GFC,0.6198433843116677,-0.10238566543315253,1.84529770384691,238,1,1,0.09197755889609086,0.24433739563601672,0.5356009070294784,0.009070294784580499,0.11901384365383341
CREDIT_UNLOCK_ZSCORE_CONFIRM,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_ZSCORE_CONFIRM,2018Q4,0.06559459122784883,-0.04665946929841036,2.1337836270578596,59,2,1,0.07662047114000317,0.384624073545247,0.3642857142857143,0.04047619047619048,0.1339935505528451
CREDIT_UNLOCK_ZSCORE_CONFIRM,COVID_2020,0.044014891006654455,-0.15469690070036735,0.4394114422359785,55,2,2,0.1836556825448488,0.6634615384615384,0.0,0.0,0.15288277899361274
CREDIT_UNLOCK_ZSCORE_CONFIRM,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,217,1,0,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_ZSCORE_CONFIRM,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_COOLDOWN_10D,2008_GFC,0.525553612271753,-0.15463506917537462,1.5516056770107953,115,1,1,0.17754814251090187,0.2001197085611868,0.43242630385487524,0.009070294784580499,0.1808355502884555
CREDIT_UNLOCK_COOLDOWN_10D,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_COOLDOWN_10D,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_COOLDOWN_10D,COVID_2020,0.16741606259848107,-0.15469690070036735,1.7496920078319482,38,2,1,0.266187111049178,0.5,0.0,0.0,0.23381288895082195
CREDIT_UNLOCK_COOLDOWN_10D,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,121,1,1,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_COOLDOWN_10D,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_COOLDOWN_21D,2008_GFC,0.6198433843116677,-0.10238566543315253,1.84529770384691,238,1,1,0.09197755889609086,0.24433739563601672,0.5356009070294784,0.009070294784580499,0.11901384365383341
CREDIT_UNLOCK_COOLDOWN_21D,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_COOLDOWN_21D,2018Q4,0.06559459122784883,-0.04665946929841036,2.1337836270578596,59,2,1,0.07662047114000317,0.384624073545247,0.3642857142857143,0.04047619047619048,0.1339935505528451
CREDIT_UNLOCK_COOLDOWN_21D,COVID_2020,0.08025443779887231,-0.15469690070036735,0.8946955629216099,74,1,2,0.08997478653852732,0.8461538461538461,0.0,0.0,0.06387136730762652
CREDIT_UNLOCK_COOLDOWN_21D,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,243,1,1,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_COOLDOWN_21D,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_TRAILING_DD_REPAIR,2008_GFC,0.5068947914791697,-0.1649746027202501,1.4986568027238694,119,1,1,0.1725311707262279,0.202840796996561,0.4387755102040816,0.009070294784580499,0.17678222728854898
CREDIT_UNLOCK_TRAILING_DD_REPAIR,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_TRAILING_DD_REPAIR,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_UNLOCK_TRAILING_DD_REPAIR,COVID_2020,0.044014891006654455,-0.15469690070036735,0.4394114422359785,55,2,2,0.1836556825448488,0.6634615384615384,0.0,0.0,0.15288277899361274
CREDIT_UNLOCK_TRAILING_DD_REPAIR,2022_RATE_WAR,0.07326560180565656,-0.14020389236531017,0.3246770799647222,241,1,1,0.4026330353299627,0.45270358583937453,0.06544943820224719,0.004213483146067416,0.07500045748234827
CREDIT_UNLOCK_TRAILING_DD_REPAIR,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_HYBRID_STRICT,2008_GFC,0.6198433843116677,-0.10238566543315253,1.84529770384691,238,1,1,0.09197755889609086,0.24433739563601672,0.5356009070294784,0.009070294784580499,0.11901384365383341
CREDIT_UNLOCK_HYBRID_STRICT,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_HYBRID_STRICT,2018Q4,0.06559459122784883,-0.04665946929841036,2.1337836270578596,59,2,1,0.07662047114000317,0.384624073545247,0.3642857142857143,0.04047619047619048,0.1339935505528451
CREDIT_UNLOCK_HYBRID_STRICT,COVID_2020,0.044014891006654455,-0.15469690070036735,0.4394114422359785,55,2,2,0.1836556825448488,0.6634615384615384,0.0,0.0,0.15288277899361274
CREDIT_UNLOCK_HYBRID_STRICT,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,224,1,0,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_HYBRID_STRICT,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_RATE_SHOCK_STRICT,2008_GFC,0.6198433843116677,-0.10238566543315253,1.84529770384691,238,1,1,0.09197755889609086,0.24433739563601672,0.5356009070294784,0.009070294784580499,0.11901384365383341
CREDIT_UNLOCK_RATE_SHOCK_STRICT,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_RATE_SHOCK_STRICT,2018Q4,0.06559459122784883,-0.04665946929841036,2.1337836270578596,59,2,1,0.07662047114000317,0.384624073545247,0.3642857142857143,0.04047619047619048,0.1339935505528451
CREDIT_UNLOCK_RATE_SHOCK_STRICT,COVID_2020,0.27479944506516096,-0.15469690070036735,2.964727799568132,28,2,1,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
CREDIT_UNLOCK_RATE_SHOCK_STRICT,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,224,1,0,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_RATE_SHOCK_STRICT,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_RELOCK_FAST,2008_GFC,0.5462308664061997,-0.14317704805412257,1.6027837647504588,105,1,1,0.18999930103891297,0.19331698747275142,0.41655328798185937,0.009070294784580499,0.19106012872189568
CREDIT_RELOCK_FAST,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_RELOCK_FAST,2018Q4,0.04870977764125817,-0.05026465290037763,1.666555252869201,43,1,1,0.00589388239538486,0.5888450455323986,0.2785714285714286,0.030952380952380953,0.09573726254840709
CREDIT_RELOCK_FAST,COVID_2020,0.27479944506516096,-0.15469690070036735,2.964727799568132,28,2,1,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
CREDIT_RELOCK_FAST,2022_RATE_WAR,0.020612801054112007,-0.1823841998922453,0.09844646156982674,102,2,2,0.35893226317410304,0.5229283049404981,0.06544943820224719,0.004213483146067416,0.048476510537084364
CREDIT_RELOCK_FAST,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_RELOCK_FAST_WITH_VIX,2008_GFC,0.5462308664061997,-0.14317704805412257,1.6027837647504588,105,1,1,0.18999930103891297,0.19331698747275142,0.41655328798185937,0.009070294784580499,0.19106012872189568
CREDIT_RELOCK_FAST_WITH_VIX,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_RELOCK_FAST_WITH_VIX,2018Q4,0.07661891041531188,-0.05026465290037763,2.4710518024283323,31,1,1,0.07662047114000317,0.4459879026752557,0.2785714285714286,0.030952380952380953,0.16786781666093165
CREDIT_RELOCK_FAST_WITH_VIX,COVID_2020,0.27479944506516096,-0.15469690070036735,2.964727799568132,28,2,1,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
CREDIT_RELOCK_FAST_WITH_VIX,2022_RATE_WAR,0.020612801054112007,-0.1823841998922453,0.09844646156982674,102,2,2,0.35893226317410304,0.5229283049404981,0.06544943820224719,0.004213483146067416,0.048476510537084364
CREDIT_RELOCK_FAST_WITH_VIX,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_MA50_PLUS_RELOCK_FAST,2008_GFC,0.5462308664061997,-0.14317704805412257,1.6027837647504588,105,1,1,0.18999930103891297,0.19331698747275142,0.41655328798185937,0.009070294784580499,0.19106012872189568
CREDIT_UNLOCK_MA50_PLUS_RELOCK_FAST,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_MA50_PLUS_RELOCK_FAST,2018Q4,0.04870977764125817,-0.05026465290037763,1.666555252869201,43,1,1,0.00589388239538486,0.5888450455323986,0.2785714285714286,0.030952380952380953,0.09573726254840709
CREDIT_UNLOCK_MA50_PLUS_RELOCK_FAST,COVID_2020,0.27479944506516096,-0.15469690070036735,2.964727799568132,28,2,1,0.3126256810181441,0.40384615384615385,0.0,0.0,0.2835281651357021
CREDIT_UNLOCK_MA50_PLUS_RELOCK_FAST,2022_RATE_WAR,0.020612801054112007,-0.1823841998922453,0.09844646156982674,102,2,2,0.35893226317410304,0.5229283049404981,0.06544943820224719,0.004213483146067416,0.048476510537084364
CREDIT_UNLOCK_MA50_PLUS_RELOCK_FAST,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
CREDIT_UNLOCK_HYBRID_PLUS_RELOCK_FAST,2008_GFC,0.6198433843116677,-0.10238566543315253,1.84529770384691,238,1,1,0.09197755889609086,0.24433739563601672,0.5356009070294784,0.009070294784580499,0.11901384365383341
CREDIT_UNLOCK_HYBRID_PLUS_RELOCK_FAST,2015_2016,0.34491533391042806,-0.06357779582701362,1.497976935687244,0,0,0,0.46452032255877634,0.11011904761904762,0.2569444444444444,0.0,0.1684161853777316
CREDIT_UNLOCK_HYBRID_PLUS_RELOCK_FAST,2018Q4,0.06301989730284685,-0.030098328621314785,2.7894944359458,80,2,1,0.00589388239538486,0.4622274469577404,0.46071428571428574,0.05119047619047619,0.019973908742112915
CREDIT_UNLOCK_HYBRID_PLUS_RELOCK_FAST,COVID_2020,0.044014891006654455,-0.15469690070036735,0.4394114422359785,55,2,2,0.1836556825448488,0.6634615384615384,0.0,0.0,0.15288277899361274
CREDIT_UNLOCK_HYBRID_PLUS_RELOCK_FAST,2022_RATE_WAR,0.03495873561445495,-0.17089163116124884,0.1691775802785717,224,1,0,0.3428702941927202,0.5482092038169026,0.06544943820224719,0.004213483146067416,0.03925758064206268
CREDIT_UNLOCK_HYBRID_PLUS_RELOCK_FAST,2025_PULLBACK,0.4814950149071824,-0.08797658983502687,2.116896804906381,0,0,0,0.0,0.3878127027644576,0.12894736842105264,0.01432748538011696,0.4689124434343727
