strategy,CAGR,annualized_volatility,Sharpe,Sortino,MaxDD,Calmar,final_equity,win_rate,worst_day,worst_12m_return,turnover,transaction_cost,number_of_trades,annualized_vol,transaction_cost_drag,time_in_credit_lock,number_credit_entries,number_credit_unlocks,avg_credit_lock_duration,false_recovery_count,relock_within_21d_count,missed_rebound_count
CREDIT_RELOCK_FAST,0.19559854879797478,0.13439556790917728,1.4553943395674898,1.9705587052979068,-0.18238419989224497,1.072453364455567,36.49013357669381,0.5662199448167127,-0.05042820302732689,-0.1385515274638528,185.71346544918381,0.0928567327245919,235,0.13439556790917728,0.0928567327245919,335,9,9,37.22222222222222,6,4,4
CREDIT_RELOCK_FAST_WITH_VIX,0.1953088415307238,0.13441339561053675,1.453045960512982,1.9721368107804227,-0.18238419989224675,1.0708649194728106,36.31251316758207,0.5656286953094206,-0.05042820302732689,-0.13855152746385324,189.47221371334396,0.09473610685667197,235,0.13441339561053675,0.09473610685667197,347,10,10,34.7,8,5,4
CREDIT_UNLOCK_2D_CONFIRM,0.19996467238735605,0.13438231078243296,1.4880282324591214,2.0183446475473477,-0.17089163116124806,1.1701255996478586,39.269074542745365,0.5672053606621994,-0.05042820302732689,-0.12644283805553946,177.7081443235358,0.08885407216176788,231,0.13438231078243296,0.08885407216176788,323,7,7,46.142857142857146,4,2,4
CREDIT_UNLOCK_3D_CONFIRM,0.20005167185203043,0.13433779660963913,1.4891689226773885,2.020291094272775,-0.17089163116124872,1.1706346910766336,39.32643993761532,0.5670082774931021,-0.05042820302732689,-0.1264428380555399,177.7081443235358,0.08885407216176788,231,0.13433779660963913,0.08885407216176788,327,7,7,46.714285714285715,4,2,4
CREDIT_UNLOCK_COOLDOWN_10D,0.18326402343969406,0.13387611311062406,1.3689075607405778,1.855303249492137,-0.1708916311612494,1.0723990530979857,29.61375152640123,0.5638549467875443,-0.05042820302732689,-0.12644283805554124,178.9875223762578,0.08949376118812889,225,0.13387611311062406,0.08949376118812889,441,7,7,63.0,5,2,5
CREDIT_UNLOCK_COOLDOWN_21D,0.18011448301099175,0.13336054763338415,1.3505829588083043,1.8234937148996837,-0.1708916311612496,1.0539690082368027,28.06640944504049,0.5636578636184469,-0.0536944085343297,-0.12644283805554113,169.77201907553265,0.08488600953776632,213,0.13336054763338415,0.08488600953776632,834,7,7,119.14285714285714,6,3,7
CREDIT_UNLOCK_HYBRID_PLUS_RELOCK_FAST,0.18448869067475004,0.1328415448555853,1.3887876031200284,1.8726983886063682,-0.17089163116124928,1.079565391360042,30.23703538621647,0.5652345289712258,-0.05042820302732689,-0.12644283805554057,175.36403173044158,0.08768201586522079,217,0.1328415448555853,0.08768201586522079,773,8,8,96.625,6,3,7
CREDIT_UNLOCK_HYBRID_STRICT,0.1806192518178653,0.1330091519267589,1.3579460450760767,1.8326992417486945,-0.1708916311612495,1.0569227444931872,28.309117035734673,0.5646432794639338,-0.05042820302732689,-0.12644283805554146,171.36403173044158,0.0856820158652208,215,0.1330091519267589,0.0856820158652208,736,7,7,105.14285714285714,5,3,6
CREDIT_UNLOCK_LEVEL_CONFIRM,0.18233505810832584,0.13228455612397735,1.3783548393770249,1.876681071381481,-0.17089163116124917,1.0669630623180075,29.14912680051841,0.5642491131257391,-0.04814157255316827,-0.12644283805554057,171.3580081130881,0.08567900405654405,214,0.13228455612397735,0.08567900405654405,775,7,7,110.71428571428571,5,3,6
CREDIT_UNLOCK_MA20_MA50,0.20025481455578142,0.13531387247033494,1.4799281913957756,1.9962759982957086,-0.159356607073882,1.2566458224285482,39.46069768466355,0.5670082774931021,-0.05042820302732689,-0.09410991872121965,181.74074710072395,0.09087037355036195,234,0.13531387247033494,0.09087037355036195,288,8,8,36.0,5,2,4
CREDIT_UNLOCK_MA50,0.20025481455578142,0.13531387247033494,1.4799281913957756,1.9962759982957086,-0.159356607073882,1.2566458224285482,39.46069768466355,0.5670082774931021,-0.05042820302732689,-0.09410991872121965,181.74074710072395,0.09087037355036195,234,0.13531387247033494,0.09087037355036195,288,8,8,36.0,5,2,4
CREDIT_UNLOCK_MA50_PLUS_RELOCK_FAST,0.19389446251743303,0.1343606760638564,1.4430893636266204,1.9533826002682753,-0.18238419989224586,1.0631099768071333,35.457086808940915,0.5662199448167127,-0.05042820302732689,-0.13855152746385357,185.69709903009274,0.09284854951504637,234,0.1343606760638564,0.09284854951504637,343,9,9,38.111111111111114,6,4,4
CREDIT_UNLOCK_RATE_SHOCK_STRICT,0.19238789794350408,0.13385253690744087,1.4373123019441945,1.9527383901787514,-0.17089163116124872,1.1257888793979154,34.56698462666773,0.5650374458021284,-0.05042820302732689,-0.12644283805554157,171.48441315477024,0.08574220657738511,217,0.13385253690744087,0.08574220657738511,709,7,7,101.28571428571429,4,3,5
CREDIT_UNLOCK_TRAILING_DD_REPAIR,0.18858262833746342,0.13448512810530366,1.4022563758113142,1.8800860626861093,-0.16497460272024989,1.1431009696519534,32.41235468002731,0.5660228616476153,-0.05042820302732689,-0.09410991872122054,181.60989844098617,0.09080494922049309,232,0.13448512810530366,0.09080494922049309,534,8,8,66.75,5,2,5
CREDIT_UNLOCK_ZSCORE_CONFIRM,0.1797507393564317,0.13300146174989927,1.3514944647333385,1.8242849779406007,-0.1708916311612494,1.0518405034522906,27.892738227882546,0.5644461962948364,-0.05042820302732689,-0.12644283805554024,171.36403173044158,0.0856820158652208,215,0.13300146174989927,0.0856820158652208,730,7,7,104.28571428571429,5,3,6
FINAL_BASELINE,0.20196797918368836,0.1353482898841827,1.4922093168411068,2.0133586261368386,-0.15935660707388177,1.2673963313617167,40.610390168315,0.5670082774931021,-0.05042820302732689,-0.09410991872122143,181.757113519815,0.0908785567599075,235,0.1353482898841827,0.0908785567599075,280,8,8,35.0,5,2,4
