credit_variant,window,cumulative_return,max_drawdown,Sharpe,time_in_credit_lock,time_in_any_stress,number_credit_entries,number_credit_unlocks,false_recovery_count,missed_rebound_count
SPY_BUY_HOLD,2008_GFC,-0.37161444441768987,-0.5518944093580835,-0.632437876733812,0,0,0,0,0,0
SPY_BUY_HOLD,2015_2016,0.006936483325802545,-0.13022918852006427,0.04428286891450826,0,0,0,0,0,0
SPY_BUY_HOLD,2018Q4,-0.0660901455288514,-0.19203234009564452,-0.8163878971615426,0,0,0,0,0,0
SPY_BUY_HOLD,COVID_2020,-0.03167845151604476,-0.3371727790547798,-0.15424226346781125,0,0,0,0,0,0
SPY_BUY_HOLD,2022_RATE_WAR,-0.08745430725697201,-0.24496374143038613,-0.28307768718177867,0,0,0,0,0,0
SPY_BUY_HOLD,2025_PULLBACK,0.3048626235542884,-0.18755233666641224,1.200700598753348,0,0,0,0,0,0
SPY_CASH_FINAL_LOCKS,2008_GFC,0.0935864039903096,-0.1922344804013396,0.3355939775031991,104,251,1,1,1,1
SPY_CASH_FINAL_LOCKS,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
SPY_CASH_FINAL_LOCKS,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,30,51,2,1,1,1
SPY_CASH_FINAL_LOCKS,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,27,42,2,2,1,1
SPY_CASH_FINAL_LOCKS,2022_RATE_WAR,-0.16456183254566958,-0.29454945501511787,-0.6319550597402706,75,91,2,2,2,1
SPY_CASH_FINAL_LOCKS,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
SPY_CASH_NO_CREDIT,2008_GFC,0.06284201386535515,-0.2149434846221414,0.1879759178839395,0,146,0,0,0,0
SPY_CASH_NO_CREDIT,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
SPY_CASH_NO_CREDIT,2018Q4,-0.1492026377380995,-0.20071960719365012,-2.4264002027028733,0,28,0,0,0,0
SPY_CASH_NO_CREDIT,COVID_2020,0.17010035588062133,-0.0698950637250666,2.1601157115119674,0,30,0,0,0,0
SPY_CASH_NO_CREDIT,2022_RATE_WAR,-0.14323176091302348,-0.27653817513348744,-0.477448362381779,0,14,0,0,0,0
SPY_CASH_NO_CREDIT,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
SPY_CASH_CREDIT_ONLY,2008_GFC,-0.35343739607214253,-0.538932244787862,-0.624293809693455,105,105,1,1,1,1
SPY_CASH_CREDIT_ONLY,2015_2016,0.006936483325802545,-0.13022918852006427,0.04428286891450826,0,0,0,0,0,0
SPY_CASH_CREDIT_ONLY,2018Q4,-0.07702794144319391,-0.09762470453693195,-1.5061194749274418,44,44,1,0,0,1
SPY_CASH_CREDIT_ONLY,COVID_2020,-0.08547814588904257,-0.26668452134028253,-0.5567062545009176,29,29,1,1,0,1
SPY_CASH_CREDIT_ONLY,2022_RATE_WAR,-0.11017301239363031,-0.2637610972914025,-0.4082195871588587,77,77,2,2,2,1
SPY_CASH_CREDIT_ONLY,2025_PULLBACK,0.3048626235542884,-0.18755233666641224,1.200700598753348,0,0,0,0,0,0
BASELINE_ABS,2008_GFC,0.0935864039903096,-0.1922344804013396,0.3355939775031991,105,251,1,1,1,1
BASELINE_ABS,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
BASELINE_ABS,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
BASELINE_ABS,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,28,42,2,2,1,1
BASELINE_ABS,2022_RATE_WAR,-0.16456183254566958,-0.29454945501511787,-0.6319550597402706,77,91,2,2,2,1
BASELINE_ABS,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_20D,2008_GFC,0.10250277402473995,-0.18564850214894424,0.3767526590030162,114,260,1,1,1,1
ABS_20D,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_20D,2018Q4,-0.01958310560476939,-0.10651730587748287,-0.5208457971423943,27,47,2,1,1,1
ABS_20D,COVID_2020,0.07866954642275892,-0.06989506372506671,1.1138071289459763,29,43,2,2,1,1
ABS_20D,2022_RATE_WAR,-0.0966379767586768,-0.2371940181329173,-0.4229418919289868,111,125,1,1,1,1
ABS_20D,2025_PULLBACK,0.1809837626770534,-0.1459905702079367,1.127542643333854,20,69,1,1,0,0
ABS_OR_DZ_15D,2008_GFC,0.10672858185235867,-0.18252715586743884,0.3860655394809876,109,255,1,1,1,1
ABS_OR_DZ_15D,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_OR_DZ_15D,2018Q4,-0.0632563767527703,-0.10732773508777682,-1.8231000928450383,32,52,2,1,1,1
ABS_OR_DZ_15D,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,33,42,2,2,1,1
ABS_OR_DZ_15D,2022_RATE_WAR,-0.21359572563403983,-0.33595405914916665,-0.8570158133321499,90,104,2,2,2,1
ABS_OR_DZ_15D,2025_PULLBACK,0.23448333123996834,-0.09864544510693396,1.576279270884767,42,71,3,3,2,1
DZ_ONLY_15D_1P5,2008_GFC,0.11539932802621622,-0.17612260496695253,0.41610639957356843,104,250,1,1,1,1
DZ_ONLY_15D_1P5,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
DZ_ONLY_15D_1P5,2018Q4,-0.0632563767527703,-0.10732773508777682,-1.8231000928450383,32,52,2,1,1,1
DZ_ONLY_15D_1P5,COVID_2020,0.09952957978160759,-0.07826426426464084,1.3404821394882929,29,38,2,2,1,1
DZ_ONLY_15D_1P5,2022_RATE_WAR,-0.21359572563403983,-0.33595405914916665,-0.8570158133321499,90,104,2,2,2,1
DZ_ONLY_15D_1P5,2025_PULLBACK,0.23448333123996834,-0.09864544510693396,1.576279270884767,42,71,3,3,2,1
DZ_ONLY_15D_2P0,2008_GFC,0.10215418680867172,-0.18590598224625132,0.365168016567119,100,246,1,1,1,1
DZ_ONLY_15D_2P0,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
DZ_ONLY_15D_2P0,2018Q4,-0.04803093035849604,-0.10732773508777682,-1.3226276370537569,28,48,1,1,0,1
DZ_ONLY_15D_2P0,COVID_2020,0.09952957978160759,-0.07826426426464084,1.3404821394882929,24,38,2,2,1,1
DZ_ONLY_15D_2P0,2022_RATE_WAR,-0.16204084864035317,-0.2924207164211865,-0.6340921530067123,85,99,2,2,2,1
DZ_ONLY_15D_2P0,2025_PULLBACK,0.23448333123996834,-0.09864544510693396,1.576279270884767,37,71,3,3,2,1
LEVEL_Z_ENTRY,2008_GFC,0.1827131184975519,-0.09458072038883225,0.7443315620946924,238,326,1,1,1,1
LEVEL_Z_ENTRY,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
LEVEL_Z_ENTRY,2018Q4,-0.017683674484254563,-0.03188617981224684,-1.309701965962519,80,80,2,2,1,2
LEVEL_Z_ENTRY,COVID_2020,0.008618423846057821,-0.06674422642405908,0.21311502978138486,63,77,2,2,1,2
LEVEL_Z_ENTRY,2022_RATE_WAR,-0.06642715216912232,-0.14409770296941804,-0.5257327808994985,232,246,1,1,0,1
LEVEL_Z_ENTRY,2025_PULLBACK,0.14823400186070335,-0.1459905702079367,0.9484903367561902,34,83,1,1,0,1
ABS_ENTRY_LEVEL_Z_UNLOCK,2008_GFC,0.1827131184975519,-0.09458072038883225,0.7443315620946924,238,326,1,1,1,1
ABS_ENTRY_LEVEL_Z_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_LEVEL_Z_UNLOCK,2018Q4,-0.004064350368946035,-0.06413914090077755,-0.14411016529518417,59,59,2,2,1,1
ABS_ENTRY_LEVEL_Z_UNLOCK,COVID_2020,-0.008029959379742269,-0.0844643769365021,-0.13440509653649244,55,69,2,2,2,2
ABS_ENTRY_LEVEL_Z_UNLOCK,2022_RATE_WAR,-0.03140583627150695,-0.1536608192201646,-0.22660369598318741,217,231,1,1,0,1
ABS_ENTRY_LEVEL_Z_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_PERCENTILE_UNLOCK,2008_GFC,0.1827131184975519,-0.09458072038883225,0.7443315620946924,238,326,1,1,1,1
ABS_ENTRY_PERCENTILE_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_PERCENTILE_UNLOCK,2018Q4,-0.004064350368946035,-0.06413914090077755,-0.14411016529518417,59,59,2,2,1,1
ABS_ENTRY_PERCENTILE_UNLOCK,COVID_2020,0.0009836790465698186,-0.048465578405205045,0.035756763777568486,74,88,2,1,2,2
ABS_ENTRY_PERCENTILE_UNLOCK,2022_RATE_WAR,-0.05590248341379489,-0.1536608192201646,-0.40845406933669415,222,236,1,1,0,1
ABS_ENTRY_PERCENTILE_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_MA50_UNLOCK,2008_GFC,0.0935864039903096,-0.1922344804013396,0.3355939775031991,105,251,1,1,1,1
ABS_ENTRY_MA50_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_MA50_UNLOCK,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
ABS_ENTRY_MA50_UNLOCK,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,28,42,2,2,1,1
ABS_ENTRY_MA50_UNLOCK,2022_RATE_WAR,-0.16456183254566958,-0.29454945501511787,-0.6319550597402706,77,91,2,2,2,1
ABS_ENTRY_MA50_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_MA20_MA50_UNLOCK,2008_GFC,0.0935864039903096,-0.1922344804013396,0.3355939775031991,105,251,1,1,1,1
ABS_ENTRY_MA20_MA50_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_MA20_MA50_UNLOCK,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
ABS_ENTRY_MA20_MA50_UNLOCK,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,28,42,2,2,1,1
ABS_ENTRY_MA20_MA50_UNLOCK,2022_RATE_WAR,-0.16456183254566958,-0.29454945501511787,-0.6319550597402706,77,91,2,2,2,1
ABS_ENTRY_MA20_MA50_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_3D_CONFIRM_UNLOCK,2008_GFC,0.09779197062761091,-0.1891280850515158,0.3504013786481294,107,253,1,1,1,1
ABS_ENTRY_3D_CONFIRM_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_3D_CONFIRM_UNLOCK,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
ABS_ENTRY_3D_CONFIRM_UNLOCK,COVID_2020,0.08368980439871287,-0.06989506372506671,1.1930128635601964,30,44,2,2,1,1
ABS_ENTRY_3D_CONFIRM_UNLOCK,2022_RATE_WAR,-0.09177939974343097,-0.23309139757190045,-0.4016848512871291,113,127,1,1,1,1
ABS_ENTRY_3D_CONFIRM_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_COOLDOWN_10D_UNLOCK,2008_GFC,0.09976776373412455,-0.18766868729430153,0.36130423085788116,115,261,1,1,1,1
ABS_ENTRY_COOLDOWN_10D_UNLOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_COOLDOWN_10D_UNLOCK,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
ABS_ENTRY_COOLDOWN_10D_UNLOCK,COVID_2020,0.05883656490843925,-0.08454947607763341,0.8923967911179048,38,52,2,2,1,1
ABS_ENTRY_COOLDOWN_10D_UNLOCK,2022_RATE_WAR,-0.11431308040539112,-0.25211901436361717,-0.5082788772623671,121,135,1,1,1,1
ABS_ENTRY_COOLDOWN_10D_UNLOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_FAST_RELOCK,2008_GFC,0.1886886682798734,-0.09458072038883225,0.730235877374471,246,299,4,4,4,3
ABS_ENTRY_FAST_RELOCK,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_FAST_RELOCK,2018Q4,-0.07945967966007195,-0.10651730587748287,-2.443596860686886,43,63,2,1,1,1
ABS_ENTRY_FAST_RELOCK,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,28,42,2,2,1,1
ABS_ENTRY_FAST_RELOCK,2022_RATE_WAR,-0.14206975201733063,-0.2755569657027025,-0.6116919788937489,102,116,2,2,2,1
ABS_ENTRY_FAST_RELOCK,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
ABS_ENTRY_FAST_RELOCK_WITH_VIX,2008_GFC,0.1886886682798734,-0.09458072038883225,0.730235877374471,242,299,4,4,4,3
ABS_ENTRY_FAST_RELOCK_WITH_VIX,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
ABS_ENTRY_FAST_RELOCK_WITH_VIX,2018Q4,-0.04822149266547515,-0.10651730587748287,-1.3518516849623747,31,51,2,1,1,1
ABS_ENTRY_FAST_RELOCK_WITH_VIX,COVID_2020,0.09423755712371307,-0.06989506372506649,1.3412870294717838,28,42,2,2,1,1
ABS_ENTRY_FAST_RELOCK_WITH_VIX,2022_RATE_WAR,-0.14206975201733063,-0.2755569657027025,-0.6116919788937489,102,116,2,2,2,1
ABS_ENTRY_FAST_RELOCK_WITH_VIX,2025_PULLBACK,0.24041161718812987,-0.1459905702079367,1.4114320680744281,0,49,0,0,0,0
HYBRID_BEST_EFFORT,2008_GFC,0.048813957159874466,-0.08167192115494515,0.30486651696057365,359,362,2,2,1,2
HYBRID_BEST_EFFORT,2015_2016,0.06863935220018735,-0.04009484648768891,0.9865598130558724,0,125,0,0,0,0
HYBRID_BEST_EFFORT,2018Q4,0.015650857840169063,-0.03188617981224684,0.7821889328780798,68,68,2,2,1,1
HYBRID_BEST_EFFORT,COVID_2020,-0.008029959379742269,-0.0844643769365021,-0.13440509653649244,60,69,2,2,2,2
HYBRID_BEST_EFFORT,2022_RATE_WAR,-0.0357625587629945,-0.1202883367537152,-0.2840939879302917,232,246,1,1,0,1
HYBRID_BEST_EFFORT,2025_PULLBACK,0.21951985148840159,-0.08617465944611524,1.530299157292751,58,87,3,3,2,2
