strategy,window,cumulative_return,max_drawdown,Sharpe,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days,steep_low_spy_weight,steep_low_ief_weight,inverted_stress_cash_weight
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2008_GFC,0.5462308664062008,-0.14317704805412101,1.6027837647504675,0.18999930103891297,0.19331698747275142,0.19106012872189568,0.41655328798185937,0.009070294784580499,251,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2011_EURO_DEBT,0.01505214227261531,-0.1274026475762069,0.12867516540697152,0.5503355704697986,0.13489932885906042,0.0,0.31476510067114094,0.0,67,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2015_2016,0.1427851997757199,-0.06357779582701306,1.5631070779145704,0.3821753092975958,0.16233766233766234,0.07669914957686302,0.3787878787878788,0.0,125,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2018Q4,0.07661891041531033,-0.05026465290037774,2.4710518024282853,0.07662047114000317,0.4459879026752557,0.16786781666093165,0.2785714285714286,0.030952380952380953,51,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,COVID_2020,0.27479944506515963,-0.15469690070036746,2.964727799568118,0.3126256810181441,0.40384615384615385,0.2835281651357021,0.0,0.0,42,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2022_RATE_WAR,0.07326560180565633,-0.14020389236531094,0.32467707996472156,0.4026330353299627,0.45270358583937453,0.07500045748234827,0.06544943820224719,0.004213483146067416,91,,,
FINAL_REGIME_HEDGE_TRIGGER_LOCK,2025_PULLBACK,0.4814950149071746,-0.08797658983502676,2.1168968049063563,0.0,0.3878127027644576,0.4689124434343727,0.12894736842105264,0.01432748538011696,49,,,
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH00,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.3,0.7,0.0
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH00,2011_EURO_DEBT,0.01980716414950079,-0.06373349289947083,0.33966379794520996,0.4973154362416107,0.0,0.0,0.5026845637583894,0.0,107,0.3,0.7,0.0
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH00,2015_2016,0.030928470670153585,-0.05610098320885426,0.4200088404676613,0.33402447145438746,0.06321434692362088,0.037393216254026224,0.5142857142857143,0.051082251082251076,136,0.3,0.7,0.0
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH00,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.3,0.7,0.0
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH00,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.3,0.7,0.0
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH00,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215,0.3,0.7,0.0
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH00,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.3,0.7,0.0
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH10,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.3,0.7,0.1
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH10,2011_EURO_DEBT,0.01980716414950079,-0.06373349289947083,0.33966379794520996,0.4973154362416107,0.0,0.0,0.5026845637583894,0.0,107,0.3,0.7,0.1
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH10,2015_2016,0.030928470670153585,-0.05610098320885426,0.4200088404676613,0.33402447145438746,0.06321434692362088,0.037393216254026224,0.5142857142857143,0.051082251082251076,136,0.3,0.7,0.1
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH10,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.3,0.7,0.1
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH10,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.3,0.7,0.1
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH10,2022_RATE_WAR,0.2072021307373244,-0.10289329572758399,1.2150390078798328,0.32724717940519815,0.3315707064863224,0.02292368714218726,0.042134831460674156,0.276123595505618,215,0.3,0.7,0.1
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH10,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.3,0.7,0.1
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH20,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.3,0.7,0.2
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH20,2011_EURO_DEBT,0.01980716414950079,-0.06373349289947083,0.33966379794520996,0.4973154362416107,0.0,0.0,0.5026845637583894,0.0,107,0.3,0.7,0.2
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH20,2015_2016,0.030928470670153585,-0.05610098320885426,0.4200088404676613,0.33402447145438746,0.06321434692362088,0.037393216254026224,0.5142857142857143,0.051082251082251076,136,0.3,0.7,0.2
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH20,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.3,0.7,0.2
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH20,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.3,0.7,0.2
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH20,2022_RATE_WAR,0.2046099313492955,-0.09156097182008838,1.2685570737005165,0.31572371747296607,0.3113525953848467,0.02292368714218726,0.042134831460674156,0.30786516853932583,215,0.3,0.7,0.2
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH20,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.3,0.7,0.2
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2011_EURO_DEBT,0.01980716414950079,-0.06373349289947083,0.33966379794520996,0.4973154362416107,0.0,0.0,0.5026845637583894,0.0,107,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2015_2016,0.030928470670153585,-0.05610098320885426,0.4200088404676613,0.33402447145438746,0.06321434692362088,0.037393216254026224,0.5142857142857143,0.051082251082251076,136,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2022_RATE_WAR,0.20188062872338586,-0.08010994990761455,1.3222123846232134,0.3042002555407339,0.291134484283371,0.02292368714218726,0.042134831460674156,0.33960674157303367,215,0.3,0.7,0.3
VCAIC_SLS_SPY30_IEF70_INVSTR_CASH30,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.3,0.7,0.3
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2011_EURO_DEBT,0.010915444943052854,-0.07947775008359248,0.16198709907042755,0.5691275167785236,0.0,0.0,0.43087248322147653,0.0,107,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2015_2016,0.0368775164358468,-0.05610098320885426,0.49964916604153947,0.34181667924659526,0.06321434692362088,0.037393216254026224,0.5064935064935066,0.051082251082251076,136,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH00,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.4,0.6,0.0
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.4,0.6,0.1
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,2011_EURO_DEBT,0.010915444943052854,-0.07947775008359248,0.16198709907042755,0.5691275167785236,0.0,0.0,0.43087248322147653,0.0,107,0.4,0.6,0.1
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,2015_2016,0.0368775164358468,-0.05610098320885426,0.49964916604153947,0.34181667924659526,0.06321434692362088,0.037393216254026224,0.5064935064935066,0.051082251082251076,136,0.4,0.6,0.1
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.4,0.6,0.1
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.4,0.6,0.1
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,2022_RATE_WAR,0.2072021307373244,-0.10289329572758399,1.2150390078798328,0.32724717940519815,0.3315707064863224,0.02292368714218726,0.042134831460674156,0.276123595505618,215,0.4,0.6,0.1
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH10,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.4,0.6,0.1
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH20,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.4,0.6,0.2
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH20,2011_EURO_DEBT,0.010915444943052854,-0.07947775008359248,0.16198709907042755,0.5691275167785236,0.0,0.0,0.43087248322147653,0.0,107,0.4,0.6,0.2
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH20,2015_2016,0.0368775164358468,-0.05610098320885426,0.49964916604153947,0.34181667924659526,0.06321434692362088,0.037393216254026224,0.5064935064935066,0.051082251082251076,136,0.4,0.6,0.2
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH20,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.4,0.6,0.2
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH20,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.4,0.6,0.2
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH20,2022_RATE_WAR,0.2046099313492955,-0.09156097182008838,1.2685570737005165,0.31572371747296607,0.3113525953848467,0.02292368714218726,0.042134831460674156,0.30786516853932583,215,0.4,0.6,0.2
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH20,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.4,0.6,0.2
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH30,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.4,0.6,0.3
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH30,2011_EURO_DEBT,0.010915444943052854,-0.07947775008359248,0.16198709907042755,0.5691275167785236,0.0,0.0,0.43087248322147653,0.0,107,0.4,0.6,0.3
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH30,2015_2016,0.0368775164358468,-0.05610098320885426,0.49964916604153947,0.34181667924659526,0.06321434692362088,0.037393216254026224,0.5064935064935066,0.051082251082251076,136,0.4,0.6,0.3
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH30,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.4,0.6,0.3
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH30,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.4,0.6,0.3
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH30,2022_RATE_WAR,0.20188062872338586,-0.08010994990761455,1.3222123846232134,0.3042002555407339,0.291134484283371,0.02292368714218726,0.042134831460674156,0.33960674157303367,215,0.4,0.6,0.3
VCAIC_SLS_SPY40_IEF60_INVSTR_CASH30,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.4,0.6,0.3
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH00,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.5,0.5,0.0
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH00,2011_EURO_DEBT,0.0014309516357677854,-0.09506466235590527,0.01776279324511166,0.6409395973154363,0.0,0.0,0.35906040268456374,0.0,107,0.5,0.5,0.0
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH00,2015_2016,0.042842069571469965,-0.05610098320885426,0.5774008677601863,0.349608887038803,0.06321434692362088,0.037393216254026224,0.49870129870129876,0.051082251082251076,136,0.5,0.5,0.0
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH00,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.5,0.5,0.0
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH00,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.5,0.5,0.0
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH00,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215,0.5,0.5,0.0
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH00,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.5,0.5,0.0
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH10,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.5,0.5,0.1
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH10,2011_EURO_DEBT,0.0014309516357677854,-0.09506466235590527,0.01776279324511166,0.6409395973154363,0.0,0.0,0.35906040268456374,0.0,107,0.5,0.5,0.1
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH10,2015_2016,0.042842069571469965,-0.05610098320885426,0.5774008677601863,0.349608887038803,0.06321434692362088,0.037393216254026224,0.49870129870129876,0.051082251082251076,136,0.5,0.5,0.1
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH10,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.5,0.5,0.1
