strategy,window,cumulative_return,max_drawdown,Sharpe,avg_weight_SPY,avg_weight_GOLD,avg_weight_CMDTY_FUT,avg_weight_IEF,avg_weight_CASH,stress_days,steep_low_spy_weight,steep_low_ief_weight,inverted_stress_cash_weight
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH10,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.5,0.5,0.1
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH10,2022_RATE_WAR,0.2072021307373244,-0.10289329572758399,1.2150390078798328,0.32724717940519815,0.3315707064863224,0.02292368714218726,0.042134831460674156,0.276123595505618,215,0.5,0.5,0.1
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH10,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.5,0.5,0.1
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH20,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.5,0.5,0.2
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH20,2011_EURO_DEBT,0.0014309516357677854,-0.09506466235590527,0.01776279324511166,0.6409395973154363,0.0,0.0,0.35906040268456374,0.0,107,0.5,0.5,0.2
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH20,2015_2016,0.042842069571469965,-0.05610098320885426,0.5774008677601863,0.349608887038803,0.06321434692362088,0.037393216254026224,0.49870129870129876,0.051082251082251076,136,0.5,0.5,0.2
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH20,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.5,0.5,0.2
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH20,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.5,0.5,0.2
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH20,2022_RATE_WAR,0.2046099313492955,-0.09156097182008838,1.2685570737005165,0.31572371747296607,0.3113525953848467,0.02292368714218726,0.042134831460674156,0.30786516853932583,215,0.5,0.5,0.2
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH20,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.5,0.5,0.2
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH30,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.5,0.5,0.3
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH30,2011_EURO_DEBT,0.0014309516357677854,-0.09506466235590527,0.01776279324511166,0.6409395973154363,0.0,0.0,0.35906040268456374,0.0,107,0.5,0.5,0.3
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH30,2015_2016,0.042842069571469965,-0.05610098320885426,0.5774008677601863,0.349608887038803,0.06321434692362088,0.037393216254026224,0.49870129870129876,0.051082251082251076,136,0.5,0.5,0.3
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH30,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.5,0.5,0.3
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH30,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.5,0.5,0.3
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH30,2022_RATE_WAR,0.20188062872338586,-0.08010994990761455,1.3222123846232134,0.3042002555407339,0.291134484283371,0.02292368714218726,0.042134831460674156,0.33960674157303367,215,0.5,0.5,0.3
VCAIC_SLS_SPY50_IEF50_INVSTR_CASH30,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.5,0.5,0.3
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH00,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.6,0.4,0.0
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH00,2011_EURO_DEBT,-0.008629774835029802,-0.1104947100937782,-0.08965092277386634,0.7127516778523489,0.0,0.0,0.28724832214765095,0.0,107,0.6,0.4,0.0
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH00,2015_2016,0.048822044745685744,-0.05610098320885426,0.6526332138338118,0.35740109483101085,0.06321434692362088,0.037393216254026224,0.490909090909091,0.051082251082251076,136,0.6,0.4,0.0
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH00,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.6,0.4,0.0
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH00,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.6,0.4,0.0
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH00,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215,0.6,0.4,0.0
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH00,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.6,0.4,0.0
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH10,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.6,0.4,0.1
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH10,2011_EURO_DEBT,-0.008629774835029802,-0.1104947100937782,-0.08965092277386634,0.7127516778523489,0.0,0.0,0.28724832214765095,0.0,107,0.6,0.4,0.1
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH10,2015_2016,0.048822044745685744,-0.05610098320885426,0.6526332138338118,0.35740109483101085,0.06321434692362088,0.037393216254026224,0.490909090909091,0.051082251082251076,136,0.6,0.4,0.1
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH10,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.6,0.4,0.1
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH10,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.6,0.4,0.1
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH10,2022_RATE_WAR,0.2072021307373244,-0.10289329572758399,1.2150390078798328,0.32724717940519815,0.3315707064863224,0.02292368714218726,0.042134831460674156,0.276123595505618,215,0.6,0.4,0.1
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH10,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.6,0.4,0.1
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH20,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.6,0.4,0.2
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH20,2011_EURO_DEBT,-0.008629774835029802,-0.1104947100937782,-0.08965092277386634,0.7127516778523489,0.0,0.0,0.28724832214765095,0.0,107,0.6,0.4,0.2
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH20,2015_2016,0.048822044745685744,-0.05610098320885426,0.6526332138338118,0.35740109483101085,0.06321434692362088,0.037393216254026224,0.490909090909091,0.051082251082251076,136,0.6,0.4,0.2
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH20,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.6,0.4,0.2
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH20,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.6,0.4,0.2
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH20,2022_RATE_WAR,0.2046099313492955,-0.09156097182008838,1.2685570737005165,0.31572371747296607,0.3113525953848467,0.02292368714218726,0.042134831460674156,0.30786516853932583,215,0.6,0.4,0.2
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH20,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.6,0.4,0.2
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH30,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.6,0.4,0.3
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH30,2011_EURO_DEBT,-0.008629774835029802,-0.1104947100937782,-0.08965092277386634,0.7127516778523489,0.0,0.0,0.28724832214765095,0.0,107,0.6,0.4,0.3
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH30,2015_2016,0.048822044745685744,-0.05610098320885426,0.6526332138338118,0.35740109483101085,0.06321434692362088,0.037393216254026224,0.490909090909091,0.051082251082251076,136,0.6,0.4,0.3
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH30,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.6,0.4,0.3
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH30,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.6,0.4,0.3
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH30,2022_RATE_WAR,0.20188062872338586,-0.08010994990761455,1.3222123846232134,0.3042002555407339,0.291134484283371,0.02292368714218726,0.042134831460674156,0.33960674157303367,215,0.6,0.4,0.3
VCAIC_SLS_SPY60_IEF40_INVSTR_CASH30,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.6,0.4,0.3
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH00,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.7,0.30000000000000004,0.0
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH00,2011_EURO_DEBT,-0.019249236511899914,-0.12576837779216576,-0.16954666442392125,0.7845637583892618,0.0,0.0,0.21543624161073832,0.0,107,0.7,0.30000000000000004,0.0
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH00,2015_2016,0.05481735576362645,-0.05610098320885426,0.7248083796962973,0.3651933026232187,0.06321434692362088,0.037393216254026224,0.4831168831168832,0.051082251082251076,136,0.7,0.30000000000000004,0.0
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH00,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.7,0.30000000000000004,0.0
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH00,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.7,0.30000000000000004,0.0
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH00,2022_RATE_WAR,0.20965647857785097,-0.11410786571433362,1.162807695640873,0.3387706413374304,0.3517888175877982,0.02292368714218726,0.042134831460674156,0.2443820224719101,215,0.7,0.30000000000000004,0.0
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH00,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.7,0.30000000000000004,0.0
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH10,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.7,0.30000000000000004,0.1
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH10,2011_EURO_DEBT,-0.019249236511899914,-0.12576837779216576,-0.16954666442392125,0.7845637583892618,0.0,0.0,0.21543624161073832,0.0,107,0.7,0.30000000000000004,0.1
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH10,2015_2016,0.05481735576362645,-0.05610098320885426,0.7248083796962973,0.3651933026232187,0.06321434692362088,0.037393216254026224,0.4831168831168832,0.051082251082251076,136,0.7,0.30000000000000004,0.1
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH10,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.7,0.30000000000000004,0.1
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH10,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.7,0.30000000000000004,0.1
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH10,2022_RATE_WAR,0.2072021307373244,-0.10289329572758399,1.2150390078798328,0.32724717940519815,0.3315707064863224,0.02292368714218726,0.042134831460674156,0.276123595505618,215,0.7,0.30000000000000004,0.1
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH10,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.7,0.30000000000000004,0.1
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH20,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.7,0.30000000000000004,0.2
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH20,2011_EURO_DEBT,-0.019249236511899914,-0.12576837779216576,-0.16954666442392125,0.7845637583892618,0.0,0.0,0.21543624161073832,0.0,107,0.7,0.30000000000000004,0.2
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH20,2015_2016,0.05481735576362645,-0.05610098320885426,0.7248083796962973,0.3651933026232187,0.06321434692362088,0.037393216254026224,0.4831168831168832,0.051082251082251076,136,0.7,0.30000000000000004,0.2
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH20,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.7,0.30000000000000004,0.2
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH20,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.7,0.30000000000000004,0.2
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH20,2022_RATE_WAR,0.2046099313492955,-0.09156097182008838,1.2685570737005165,0.31572371747296607,0.3113525953848467,0.02292368714218726,0.042134831460674156,0.30786516853932583,215,0.7,0.30000000000000004,0.2
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH20,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.7,0.30000000000000004,0.2
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH30,2008_GFC,0.39078354776714486,-0.05541254858166034,1.7500320342765014,0.03433904015172899,0.09346810428487765,0.06266904603958384,0.7387755102040818,0.0707482993197279,357,0.7,0.30000000000000004,0.3
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH30,2011_EURO_DEBT,-0.019249236511899914,-0.12576837779216576,-0.16954666442392125,0.7845637583892618,0.0,0.0,0.21543624161073832,0.0,107,0.7,0.30000000000000004,0.3
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH30,2015_2016,0.05481735576362645,-0.05610098320885426,0.7248083796962973,0.3651933026232187,0.06321434692362088,0.037393216254026224,0.4831168831168832,0.051082251082251076,136,0.7,0.30000000000000004,0.3
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH30,2018Q4,0.019692509964188032,-0.012379513765071515,1.994729054526319,0.0,0.0,0.0,0.5476190476190477,0.4523809523809524,84,0.7,0.30000000000000004,0.3
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH30,COVID_2020,0.17919057247523362,-0.11089545495227993,1.9326568349906734,0.3648474805335412,0.0,0.3466909810049203,0.0,0.28846153846153844,30,0.7,0.30000000000000004,0.3
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH30,2022_RATE_WAR,0.20188062872338586,-0.08010994990761455,1.3222123846232134,0.3042002555407339,0.291134484283371,0.02292368714218726,0.042134831460674156,0.33960674157303367,215,0.7,0.30000000000000004,0.3
VCAIC_SLS_SPY70_IEF30_INVSTR_CASH30,2025_PULLBACK,0.47680140189488895,-0.08797658983502687,2.0917690574412537,0.0,0.3878127027644576,0.4689124434343727,0.14327485380116958,0.0,49,0.7,0.30000000000000004,0.3
